ln_income,mother_edu,caste_religion_group,elec,dist_school_km,poor,"A,t","Y,t","Y0,t","Y1,t",predicted_ite
-0.951919569,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,0,2520,2520.0,,-123.4799805
0.506796845,1.065197973,-0.539296979,-1.026823126,0.627370701,1.542531618,1,2520,,2520.0,-118.43701172
-1.082528933,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,0,2520,2520.0,,-117.6567383
-0.093693768,-0.659869394,0.997853496,-1.026823126,1.061516797,1.542531618,0,2520,2520.0,,-103.1994629
-1.237523827,-0.659869394,-1.307872216,0.973877559,-0.24092149,-0.648284928,0,2520,2520.0,,-100.1384277
-0.193426032,-0.659869394,1.766428733,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-94.03637695
-0.269658026,-0.659869394,1.766428733,0.973877559,-0.24092149,-0.648284928,0,2520,2520.0,,-85.6235352
1.289802073,-0.659869394,1.766428733,-1.026823126,4.534685561,-0.648284928,0,2520,2520.0,,-84.6931152
0.700715865,-0.659869394,1.766428733,-1.026823126,1.061516797,-0.648284928,0,2520,2520.0,,-81.26098633
-1.723522312,1.065197973,0.229278258,0.973877559,-0.24092149,-0.648284928,0,2520,2520.0,,-63.46557617
0.541988116,-0.659869394,-1.307872216,0.973877559,-0.24092149,-0.648284928,0,2520,2520.0,,-53.5407715
-0.134525158,-0.659869394,0.229278258,0.973877559,-0.24092149,-0.648284928,0,2580,2580.0,,-185.0380859
0.224792482,-0.659869394,-0.539296979,-1.026823126,1.061516797,-0.648284928,0,2580,2580.0,,-160.9626465
-2.040724787,-0.659869394,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2580,2580.0,,-159.3442383
-0.968484816,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,0,2580,2580.0,,-149.4628906
0.926480671,-0.659869394,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2580,2580.0,,-136.50097656
0.926480671,-0.659869394,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2580,2580.0,,-136.50097656
0.597329666,-0.659869394,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2580,2580.0,,-134.9355469
1.774977989,0.20266429,-1.307872216,-1.026823126,-0.24092149,-0.648284928,1,2580,,2580.0,-130.3493652
0.63596124,-0.659869394,1.766428733,-1.026823126,-0.24092149,-0.648284928,0,2580,2580.0,,-127.57421875
-0.71542952,-0.659869394,-0.539296979,0.973877559,-0.24092149,1.542531618,1,2580,,2580.0,-127.552002
-0.19868476,-0.659869394,1.766428733,-1.026823126,-0.24092149,1.542531618,0,2580,2580.0,,-109.0644531
-0.1386408,-0.659869394,1.766428733,0.973877559,-0.24092149,-0.648284928,1,2580,,2580.0,-105.8515625
-1.459736727,-0.659869394,0.229278258,0.973877559,-0.24092149,-0.648284928,0,2580,2580.0,,-105.02612305
0.571796716,-0.659869394,1.766428733,-1.026823126,-0.24092149,1.542531618,0,2580,2580.0,,-104.1699219
-1.140234001,-0.659869394,0.229278258,-1.026823126,-0.24092149,1.542531618,1,2580,,2580.0,-97.22265625
