ln_income,mother_edu,caste_religion_group,elec,dist_school_km,poor,collect_fw,piped_water,math_ok,study_min_wk
11.834073744348915,3,3,1,2,1,1,1,0,2160
10.819798284210286,1,3,0,1,0,0,1,1,2580
10.819798284210286,1,3,0,1,0,0,1,0,2580
11.193009415184726,1,2,1,1,0,0,1,0,2580
8.674367865788236,1,2,1,1,0,0,1,0,2520
9.239996256883693,1,1,0,1,0,0,1,0,1980
10.439600733828868,1,2,0,1,0,0,1,0,2160
9.275753510524416,1,3,0,1,1,0,1,1,2520
9.275753510524416,1,3,0,1,1,0,1,1,2520
9.682591473762397,1,3,1,1,0,0,1,0,2640
10.60214452626967,1,2,1,1,0,0,1,0,2520
10.60214452626967,1,2,1,1,0,0,1,0,2520
10.276119503549053,1,1,1,1,0,0,1,0,2580
11.225256725762893,1,5,1,1,0,1,1,0,2580
9.569133071885917,2,2,1,1,0,0,1,0,2340
11.544462890968385,1,3,1,1,0,1,1,0,2580
11.544462890968385,1,3,1,1,0,1,1,0,2580
10.445840912706414,1,2,1,1,0,0,1,0,2520
10.209537399846088,1,5,1,1,1,0,1,1,2160
10.209537399846088,1,5,1,1,1,0,1,0,2160
9.96838538411397,1,3,1,1,0,0,1,1,2520
10.525434069084952,1,3,1,1,0,0,1,1,2520
10.525434069084952,1,3,1,1,0,0,1,0,2520
8.343077871169383,1,6,0,1,0,1,1,1,2160
10.773084920418098,1,5,1,1,0,0,1,0,2640
11.538115514793793,3,1,0,1,0,1,1,0,1980
10.627673022880257,2,1,1,1,1,1,1,0,2520
11.347272216859043,1,2,1,1,0,1,1,0,2340
11.347272216859043,1,2,1,1,0,1,1,0,2340
10.430314470029058,1,2,1,1,1,1,1,0,2520
10.74604562643277,1,3,1,1,1,0,1,0,2220
10.74604562643277,1,3,1,1,1,0,1,0,1560
11.300734217613963,3,1,1,1,0,0,1,0,2400
11.300734217613963,3,1,1,1,0,0,1,0,2400
11.113596492217914,4,1,1,1,0,1,1,0,3120
10.33854382482173,1,3,1,1,0,1,1,0,3120
9.357897936333798,1,3,1,1,1,0,1,0,840
9.357897936333798,1,3,1,1,1,0,1,0,840
10.643995304455911,1,3,1,1,1,1,1,0,2520
10.111355016297821,5,2,1,1,0,0,1,0,3360
12.581387776687455,2,3,1,1,0,1,1,0,3360
11.244928365834845,1,3,1,1,1,1,1,0,3000
10.313973369101156,1,2,1,1,0,0,1,0,1920
11.22712162753022,5,1,1,4,0,1,1,1,3840
11.22712162753022,5,1,1,1,0,1,1,1,3840
10.113181056125933,1,3,1,1,1,0,1,0,3120
10.113181056125933,1,3,1,1,1,0,1,0,3120
9.34862295977619,1,3,1,1,1,0,1,0,2220
9.34862295977619,1,3,1,1,1,0,1,0,2220
10.067602707388096,1,3,1,1,1,0,1,0,2880
10.164350690877352,1,1,1,3,0,1,1,0,2880
10.664316745782925,1,1,1,1,0,1,1,1,2520
10.05496322915898,1,3,1,2,0,0,1,0,2520
8.96264794774056,1,5,1,2,0,0,1,0,2160
8.96264794774056,1,5,1,2,0,0,1,0,1980
9.669093450449063,3,3,1,1,1,0,1,1,2880
9.746892220313054,3,2,0,4,1,1,1,1,180
10.405807102008175,1,3,1,1,0,0,1,0,540
8.656259239539235,1,3,1,3,1,1,1,0,3000
11.135187385342592,1,2,1,1,0,1,1,1,2400
11.18207141673165,3,3,1,1,1,0,1,1,2400
11.18207141673165,3,3,1,1,1,0,1,1,2400
10.725643413659608,2,2,1,1,0,0,1,0,2520
10.725643413659608,2,2,1,1,0,0,1,0,420
11.19781738092779,1,2,1,2,1,1,1,0,1440
10.43590831373871,1,5,1,1,0,0,1,0,2400
10.616608914303491,2,2,1,1,1,1,1,0,3000
11.158262780792422,5,5,1,1,1,0,1,0,2520
10.292179440058462,1,5,0,1,0,0,1,1,2160
10.932410298526829,1,3,1,1,0,0,1,0,2580
11.695213687875281,1,5,1,1,1,1,1,0,2580
9.743377484107393,1,1,1,1,0,0,1,0,2520
10.471666571132038,3,2,0,1,1,0,1,0,2520
12.152677143050752,1,2,1,2,0,1,1,1,2160
10.043727641450573,1,3,1,1,0,1,1,0,1860
9.770013301136158,1,3,1,1,1,0,1,0,1980
9.770013301136158,1,3,1,1,1,0,1,0,1980
10.05173512899633,3,2,1,4,0,1,1,0,2760
11.050111924969828,3,2,1,1,1,0,1,0,2400
11.509228640125938,1,2,1,3,0,1,1,1,3600
11.147656555612986,1,3,0,1,0,1,1,0,1800
10.31231367277647,3,2,1,2,0,0,1,1,3360
10.31231367277647,3,2,1,2,0,0,1,1,3480
10.404293143019792,1,2,1,1,1,0,1,0,2280
10.345959386273389,1,2,1,1,1,0,1,0,2520
12.384934056250565,3,2,1,2,0,1,1,1,3600
9.972127028252816,1,2,1,1,0,1,1,1,3120
9.972127028252816,1,2,1,1,0,1,1,0,2880
9.972127028252816,1,2,1,1,0,1,1,0,3120
11.025344251183697,2,2,1,1,1,1,1,1,2640
10.243560441877241,1,3,1,1,1,1,1,1,2580
10.243560441877241,1,3,1,1,1,1,1,1,2640
11.230111523915308,1,3,0,1,1,0,1,0,2400
11.180259973491848,1,2,1,1,1,1,1,0,2880
11.180259973491848,1,2,1,1,1,1,1,0,2880
9.338117741918008,3,2,1,2,1,1,1,0,2640
11.11186563934097,3,1,1,1,0,1,1,1,2820
12.082610388582435,1,1,1,1,1,1,1,0,1680
12.082610388582435,1,1,1,1,1,1,1,1,1680
11.411235980601818,1,2,1,1,0,1,1,0,1920
12.044764747143999,1,2,1,2,0,1,1,1,2400
12.044764747143999,1,2,1,1,0,1,1,1,2280
