ln_income;mother_edu;caste_religion_group;elec;dist_school_km;poor;A/t;Y/t;predicted_ite
0,383831679;-0,67090392;1,036439493;-1,052821796;-0,336346989;-0,65020322;0;2220;-28,31811523
-0,322722253;-0,67090392;1,798527356;0,94982836;-0,336346989;-0,65020322;1;2280;-26,40856934
0,274128153;-0,67090392;-0,487736232;-1,052821796;-0,336346989;-0,65020322;0;1980;-38,1965332
0,89097815;-0,67090392;0,274351631;-1,052821796;-0,336346989;-0,65020322;0;2580;-29,19750977
-0,612182519;-0,67090392;1,036439493;0,94982836;-0,336346989;-0,65020322;0;2580;-27,1574707
-0,998842696;1,82714259;1,798527356;-1,052821796;-0,336346989;1,537980694;0;2520;-27,58691406
-1,335489189;-0,67090392;1,798527356;0,94982836;-0,336346989;-0,65020322;0;2220;-36,95068359
-0,488140358;-0,67090392;1,798527356;-1,052821796;0,314047741;-0,65020322;0;2400;-31,65356445
-1,177490794;1,82714259;-0,487736232;0,94982836;-0,336346989;-0,65020322;0;2520;-28,88183594
1,10032136;0,99446042;0,274351631;0,94982836;0,314047741;1,537980694;1;1980;-31,71948242
-1,665830569;-0,67090392;-0,487736232;-1,052821796;-0,336346989;1,537980694;0;2580;-28,53515625
-0,284661564;0,99446042;-0,487736232;-1,052821796;4,216416122;-0,65020322;0;2160;-30,36572266
-0,363277074;-0,67090392;-0,487736232;0,94982836;-0,336346989;-0,65020322;0;2820;-28,70922852
1,804955084;0,16177825;-1,249824095;-1,052821796;-0,336346989;-0,65020322;1;2580;-33,28515625
-1,363350081;0,99446042;-0,487736232;-1,052821796;4,216416122;-0,65020322;1;2520;-35,57421875
1,695987034;0,99446042;-0,487736232;-1,052821796;-0,336346989;-0,65020322;1;2580;-31,91821289
1,128028724;-0,67090392;0,274351631;-1,052821796;-0,336346989;-0,65020322;1;2160;-29,83691406
0,482249009;-0,67090392;1,798527356;-1,052821796;-0,336346989;-0,65020322;0;2580;-30,26416016
-0,685798456;0,99446042;0,274351631;-1,052821796;-0,336346989;-0,65020322;0;1500;-34,06152344
-0,1703591;-0,67090392;1,798527356;-1,052821796;0,964442471;1,537980694;0;3000;-29,13647461
-0,586481613;-0,67090392;-0,487736232;0,94982836;-0,336346989;-0,65020322;0;2520;-28,81274414
0,562360575;-0,67090392;0,274351631;0,94982836;-0,336346989;-0,65020322;0;2520;-28,0534668
0,403537857;-0,67090392;-0,487736232;-1,052821796;2,265231932;-0,65020322;0;2520;-35,06958008
-0,992906092;2,65982476;-0,487736232;0,94982836;-0,336346989;-0,65020322;0;3360;-30,61889648
