ln_income;mother_edu;caste_religion_group;elec;dist_school_km;poor;A_t;Y_t;predicted_ite
0,35676697;-0,633456634;-0,572046245;-0,907147544;-0,350433819;-0,610367938;0;2580;26,27954102
0,247570056;-0,633456634;-1,302762251;1,102356509;-0,350433819;-0,610367938;1;3000;24,26611328
-4,295370562;1,09191163;-0,572046245;-0,907147544;0,607783655;1,638356044;1;2580;10,43493652
-2,143268506;1,09191163;0,158669761;1,102356509;-0,350433819;1,638356044;0;2880;27,18579102
1,811486534;1,09191163;1,620101774;-0,907147544;-0,350433819;-0,610367938;1;2280;24,83203125
0,17593708;0,229227498;1,620101774;-0,907147544;-0,350433819;-0,610367938;0;2520;20,30712891
0,505368984;1,09191163;-0,572046245;-0,907147544;1,566001129;1,638356044;1;2160;18,79638672
-0,374207523;-0,633456634;-0,572046245;1,102356509;-0,350433819;-0,610367938;1;2040;22,38867188
-1,022948685;-0,633456634;-0,572046245;1,102356509;-0,350433819;-0,610367938;1;1800;22,63305664
1,04496719;-0,633456634;-1,302762251;-0,907147544;-0,350433819;1,638356044;1;3000;27,89916992
-0,096721697;1,09191163;-1,302762251;-0,907147544;-0,350433819;-0,610367938;0;2880;22,37451172
1,220211692;1,09191163;-1,302762251;-0,907147544;-0,350433819;-0,610367938;1;2280;29,90283203
-0,105537881;-0,633456634;0,889385768;-0,907147544;2,524218604;1,638356044;0;2520;22,67382813
0,162386671;-0,633456634;-0,572046245;1,102356509;-0,350433819;1,638356044;1;3000;28,88867188
1,058888385;1,09191163;-1,302762251;-0,907147544;-0,350433819;-0,610367938;0;2520;28,98071289
-0,990642419;-0,633456634;1,620101774;1,102356509;-0,350433819;-0,610367938;0;2520;20,99243164
0,491038425;0,229227498;-0,572046245;-0,907147544;-0,350433819;-0,610367938;1;2880;24,53271484
